instructie;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv;catalog;key;variation
Streef naar ± 9 tekens (UI-ruimte).;App Color;Appkleur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;App Color;
Streef naar ± 12 tekens (UI-ruimte).;App is busy;App is bezig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;App is bezig;
Streef naar ± 12 tekens (UI-ruimte).;App Language;App-taal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;App-taal;
Streef naar ± 8 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Apple ID;Apple ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Apple ID;
Streef naar ± 13 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Apple Weather;Apple Weather;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Apple Weather;
Streef naar ± 33 tekens (UI-ruimte).;Apple Weather, source information;Apple Weather, broninformatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Apple Weather, broninformatie;
Streef naar ± 256 tekens (UI-ruimte).;"Apple could not authenticate this app with WeatherKit. Check that WeatherKit is enabled for this App ID under both App Services and App Capabilities. If both are already enabled, try again later; Apple may be experiencing a temporary authentication outage.";"Apple kon deze app niet aanmelden bij WeatherKit. Controleer of WeatherKit voor deze App ID bij zowel App Services als App Capabilities aanstaat. Staat dat al goed, probeer dan later opnieuw; Apple heeft mogelijk een tijdelijke authenticatiestoring.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;"Apple kon deze app niet aanmelden bij WeatherKit. Controleer of WeatherKit voor deze App ID bij zowel App Services als App Capabilities aanstaat. Staat dat al goed, probeer dan later opnieuw; Apple heeft mogelijk een tijdelijke authenticatiestoring.";
Streef naar ± 34 tekens (UI-ruimte).;Automatic iCloud Sync;Automatische iCloud-synchronisatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Automatische iCloud-synchronisatie;
Streef naar ± 6 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Backup;Backup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Backup;
Streef naar ± 18 tekens (UI-ruimte).;Backup and restore;Backup en herstel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Backup en herstel;
Streef naar ± 14 tekens (UI-ruimte).;Backup failed;Backup mislukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Backup mislukt;
Streef naar ± 72 tekens (UI-ruimte).;Backup restored. Reopen the app to reload all settings.;Backup teruggezet. Heropen de app om alle instellingen opnieuw te laden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Backup teruggezet. Heropen de app om alle instellingen opnieuw te laden.;
Streef naar ± 25 tekens (UI-ruimte).;Restore backup file;Backupbestand terugzetten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Backupbestand terugzetten;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 41 tekens (UI-ruimte).;Backup version %lld is not supported.;Backupversie %lld wordt niet ondersteund.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Backupversie %lld wordt niet ondersteund.;
Streef naar ± 18 tekens (UI-ruimte).;Home Screen widget;Beginscherm-widget;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Beginscherm-widget;
Streef naar ± 31 tekens (UI-ruimte).;Configure Home Screen widget;Beginscherm-widget configureren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Beginscherm-widget configureren;
Streef naar ± 40 tekens (UI-ruimte).;View WeatherKit settings at Apple;Bekijk WeatherKit-instellingen bij Apple;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bekijk WeatherKit-instellingen bij Apple;
Streef naar ± 10 tekens (UI-ruimte).;Restricted;Beperkt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Beperkt;
Behoud speciale tekens: ’. Streef naar ± 88 tekens (UI-ruimte).;Add another task, or tap the checkmark in the top right when you’re done entering tasks.;Schrijf nog een taak, of tik rechtsboven op het vinkje om het toetsenbord te sluiten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Beschrijf nog een taak, of tik rechtsboven op het vinkje om de invoer af te ronden.;
Streef naar ± 11 tekens (UI-ruimte).;Destination;Bestemming;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bestemming;
Streef naar ± 6 tekens (UI-ruimte).;Save;Bewaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bewaar;
Streef naar ± 15 tekens (UI-ruimte).;Save failed;Bewaren mislukt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bewaren mislukt;
Streef naar ± 18 tekens (UI-ruimte).;Finish Editing;Bewerken afsluiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bewerken afsluiten;
Streef naar ± 13 tekens (UI-ruimte).;When Pressed;Bij indrukken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bij indrukken;
Streef naar ± 153 tekens (UI-ruimte).;Smart display shows Tasks at full width when there are no calendar items, and vice versa. This keeps more text visible.;Bij slimme weergave worden Taken over de volledige breedte getoond als er geen kalenderitems zijn, en andersom. Zo wordt er minder snel tekst afgesneden.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bij slimme weergave worden Taken over de volledige breedte getoond als er geen kalenderitems zijn, en andersom. Zo wordt er minder snel tekst afgesneden.;
Streef naar ± 10 tekens (UI-ruimte).;Soon;Binnenkort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Binnenkort;
Streef naar ± 5 tekens (UI-ruimte).;Blue;Blauw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Blauw;
Streef naar ± 14 tekens (UI-ruimte).;Tasks on top;Bovenste taken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bovenste taken;
Streef naar ± 6 tekens (UI-ruimte).;Source;Bron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bron;
Streef naar ± 5 tekens (UI-ruimte).;Brown;Bruin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Bruin;
Behoud speciale tekens: …. Streef naar ± 36 tekens (UI-ruimte).;Gift idea or another reminder…;Cadeau-idee of andere herinnering...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Cadeau-idee of andere herinnering...;
Streef naar ± 9 tekens (UI-ruimte).;Category;Categorie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Categorie;
Streef naar ± 25 tekens (UI-ruimte).;Choose Category in Tasks;Categorie in Taken kiezen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Categorie in Taken kiezen;
Streef naar ± 21 tekens (UI-ruimte).;Delete Category;Categorie verwijderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Categorie verwijderen;
Streef naar ± 102 tekens (UI-ruimte).;Compact categories show only the title and next date. Holidays are compact by default.;Compacte categorieën tonen alleen de titel en eerstvolgende datum. Feestdagen staan standaard compact.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Compacte categorieën tonen alleen de titel en eerstvolgende datum. Feestdagen staan standaard compact.;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %@ (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 20 tekens (UI-ruimte).;Compact Row for %@;Compacte rij voor %@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Compacte rij voor %@;
Streef naar ± 14 tekens (UI-ruimte).;Compact Rows;Compacte rijen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Compacte rijen;
Behoud speciale tekens: …. Streef naar ± 12 tekens (UI-ruimte).;Checking…;Controleren…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Controleren…;
Streef naar ± 5 tekens (UI-ruimte).;Cyan;Cyaan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Cyaan;
Streef naar ± 3 tekens (UI-ruimte).;Day;Dag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dag;
Streef naar ± 13 tekens (UI-ruimte).;Day of Month;Dag van maand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dag van maand;
Streef naar ± 9 tekens (UI-ruimte).;Day/Month;Dag/Maand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dag/Maand;
Streef naar ± 9 tekens (UI-ruimte).;Daily;Dagelijks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dagelijks;
Streef naar ± 5 tekens (UI-ruimte).;Days;Dagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dagen;
Streef naar ± 12 tekens (UI-ruimte).;Day count;Dagen tellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dagen tellen;
Streef naar ± 26 tekens (UI-ruimte).;Day count (0 = today);Dagen tellen (0 = vandaag);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dagen tellen (0 = vandaag);
Streef naar ± 12 tekens (UI-ruimte).;Days Before;Dagen vooraf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dagen vooraf;
Streef naar ± 5 tekens (UI-ruimte).;Date;Datum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Datum;
Streef naar ± 13 tekens (UI-ruimte).;Date (mm/dd);Datum (dd/mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Datum (dd/mm);
Streef naar ± 18 tekens (UI-ruimte).;Date formatting;Datum formattering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Datum formattering;
Streef naar ± 22 tekens (UI-ruimte).;Choose Calendar Date;Datum in agenda kiezen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Datum in agenda kiezen;
Streef naar ± 13 tekens (UI-ruimte).;Date display;Datumweergave;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Datumweergave;
Behoud speciale tekens: ‘ ’ ›. Streef naar ± 153 tekens (UI-ruimte).;The Action Button is only available on iPhone 15 Pro and newer models. On your iPhone, go to Settings › Action Button › Shortcut and choose ‘New Task’.;De Actieknop is alleen beschikbaar op iPhone 15 Pro en nieuwere modellen. Ga op je iPhone naar Instellingen › Actieknop › Opdracht en kies ‘Nieuwe taak’.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De Actieknop is alleen beschikbaar op iPhone 15 Pro en nieuwere modellen. Stel op je iPhone bij Instellingen › Actieknop › Opdracht de opdracht ‘Nieuwe taak’ in.;
Streef naar ± 140 tekens (UI-ruimte).;The app varies the date predictably around this interval. This keeps it spontaneous without changing the schedule after every sync.;De app varieert de datum voorspelbaar rond dit interval. Zo blijft het spontaan, maar verspringt de planning niet bij iedere synchronisatie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De app varieert de datum deterministisch rond dit interval. Zo blijft het spontaan, maar verspringt de planning niet bij iedere sync.;
Streef naar ± 148 tekens (UI-ruimte).;The app varies the date predictably around the selected period. This keeps it spontaneous without changing the schedule after every sync.;De app varieert de datum voorspelbaar rond deze gekozen periode. Zo blijft het spontaan, maar verspringt de planning niet bij iedere synchronisatie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De app varieert de datum voorspelbaar rond deze gekozen periode. Zo blijft het spontaan, maar verspringt de planning niet bij iedere synchronisatie.;
Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 88 tekens (UI-ruimte).;The backup contains %lld items. A safety copy of the current data will be created first.;De backup bevat %lld items. Er wordt eerst automatisch een veiligheidskopie gemaakt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De backup bevat %lld items. Er wordt eerst automatisch een veiligheidskopie gemaakt.;
Streef naar ± 153 tekens (UI-ruimte).;The backup contains active and finished items, recurrences, and settings. Before restoring, a safety copy of the current data will be created.;De backup bevat actieve en afgeronde items, herhalingen en instellingen. Voor een herstelactie wordt eerst nog een kopie van de huidige gegevens gemaakt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De backup bevat actieve en afgeronde items, herhalingen en instellingen. Voor een herstelactie wordt eerst nog een kopie van de huidige gegevens gemaakt.;
Streef naar ± 136 tekens (UI-ruimte).;The first link appears as a clickable link in the overview. A new field appears automatically after entry, up to five links.;De bovenste link verschijnt klikbaar in het overzicht. Na het invullen verschijnt automatisch een volgend veld, tot maximaal vijf links.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De bovenste link verschijnt klikbaar in het overzicht. Na het invullen verschijnt automatisch een volgend veld, tot maximaal vijf links.;
Streef naar ± 49 tekens (UI-ruimte).;The date varies predictably around this period.;De datum varieert voorspelbaar rond deze periode.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De datum varieert voorspelbaar rond deze periode.;
Streef naar ± 45 tekens (UI-ruimte).;The settings in the backup are corrupted.;De instellingen in de backup zijn beschadigd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De instellingen in de backup zijn beschadigd.;
Behoud speciale tekens: ›. Streef naar ± 241 tekens (UI-ruimte).;The Lock Screen widget is available on iPhone 11 and newer models and on iPhone SE (2nd generation) and newer. Touch and hold the Lock Screen, then tap Customize › Lock Screen › Add Widgets. Then select the Forget It widget.;De toegangsschermwidget is beschikbaar op iPhone 11 en nieuwere modellen en op iPhone SE (2e generatie) en nieuwer. Houd het toegangsscherm ingedrukt en tik op Pas aan › Toegangsscherm › Voeg widgets toe. Kies daarna de widget van Forget It.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De lockscreen-widget is beschikbaar op iPhone 11 en nieuwere modellen en op iPhone SE (2e generatie) en nieuwer. Houd het toegangsscherm ingedrukt en tik op Pas aan › Toegangsscherm › Voeg widgets toe. Kies daarna de widget van Don’t forget.;
Behoud speciale tekens: ’. Streef naar ± 127 tekens (UI-ruimte).;The new country’s default selection replaces your currently selected holidays. Custom holidays are not deleted.;De standaardselectie van het nieuwe land vervangt je huidige geselecteerde feestdagen. Eigen feestdagen worden niet verwijderd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De standaardselectie van het nieuwe land vervangt je huidige geselecteerde feestdagen. Eigen feestdagen worden niet verwijderd.;
Streef naar ± 37 tekens (UI-ruimte).;The change could not be saved.;De wijziging kon niet worden bewaard.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De wijziging kon niet worden bewaard.;
Streef naar ± 91 tekens (UI-ruimte).;The change takes effect after you fully close and reopen the app.;De wijziging wordt actief nadat je de app volledig hebt afgesloten en opnieuw hebt geopend.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;De wijziging wordt actief nadat je de app volledig hebt afgesloten en opnieuw hebt geopend.;
Streef naar ± 22 tekens (UI-ruimte).;Delete Permanently;Definitief verwijderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Definitief verwijderen;
Streef naar ± 18 tekens (UI-ruimte).;Enable Demo Data;Demodata activeren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Demodata activeren;
Streef naar ± 20 tekens (UI-ruimte).;Remove Demo Data;Demodata verwijderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Demodata verwijderen;
Streef naar ± 5 tekens (UI-ruimte).;Third;Derde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Derde;
Streef naar ± 17 tekens (UI-ruimte).;Deselect All;Deselecteer alles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Deselecteer alles;
Streef naar ± 7 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Details;Details;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Details;
Streef naar ± 135 tekens (UI-ruimte).;This Mac uses the same private iCloud container as your iPhone and iPad. Changes are updated automatically on all devices.;Deze Mac gebruikt dezelfde private iCloud-container als je iPhone en iPad. Wijzigingen worden automatisch op alle apparaten bijgewerkt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Deze Mac gebruikt dezelfde private iCloud-container als je iPhone en iPad. Wijzigingen worden automatisch op alle apparaten bijgewerkt.;
Streef naar ± 90 tekens (UI-ruimte).;This age does not correspond to a leap year with February 29. Choose an appropriate age.;Deze leeftijd hoort niet bij een geboortejaar met 29 februari. Kies een passende leeftijd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Deze leeftijd hoort niet bij een geboortejaar met 29 februari. Kies een passende leeftijd.;
Streef naar ± 76 tekens (UI-ruimte).;This place could not be found. Check the name and try again.;Deze plaats kon niet worden gevonden. Controleer de naam en probeer opnieuw.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Deze plaats kon niet worden gevonden. Controleer de naam en probeer opnieuw.;
Streef naar ± 69 tekens (UI-ruimte).;This reminder uses the same color as the birthday category.;Deze herinnering gebruikt dezelfde kleur als de verjaardagscategorie.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Deze reminder gebruikt dezelfde kleur als de verjaardagscategorie.;
Streef naar ± 33 tekens (UI-ruimte).;Start Voice Recording Immediately;Direct spraak opnemen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Direct spraak opnemen;
Streef naar ± 20 tekens (UI-ruimte).;This is an example;Dit is een voorbeeld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Dit is een voorbeeld;
Streef naar ± 9 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Forget It;Forget It;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Don't Forget;
Streef naar ± 9 tekens (UI-ruimte). Mogelijk niet vertalen (merknaam/symbool/getal).;Forget It;Forget It;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Don't forget;
Streef naar ± 8 tekens (UI-ruimte).;Continue;Doorgaan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Doorgaan;
Streef naar ± 25 tekens (UI-ruimte).;Continue Without Apple ID;Doorgaan zonder Apple ID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Doorgaan zonder Apple ID;
Streef naar ± 25 tekens (UI-ruimte).;Wrap onto new line;Doorlopen op nieuwe regel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Doorlopen op nieuwe regel;
Streef naar ± 23 tekens (UI-ruimte).;Press the Action Button;Druk op de Actieknop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Druk op de Actieknop;
Streef naar ± 116 tekens (UI-ruimte).;A yellow-highlighted weekday contains a time. Items with a time are automatically sorted within that day.;Een geel gemarkeerde weekdag bevat een tijd. Items met een tijd worden binnen die dag automatisch op volgorde gezet.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Een geel gearceerde weekdag bevat een tijd en blijft binnen de dag automatisch op tijd gesorteerd.;
Streef naar ± 161 tekens (UI-ruimte).;Changing countries replaces this selection. Custom holidays are preserved. Islamic calendar dates may differ by one day due to local moon sightings.;Een landwissel vervangt deze selectie. Eigen feestdagen blijven bewaard. Data uit de islamitische kalender kunnen door lokale maanwaarneming één dag verschillen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Een landwissel vervangt deze selectie. Eigen feestdagen blijven bewaard. Data uit de islamitische kalender kunnen door lokale maanwaarneming één dag verschillen.;
Streef naar ± 20 tekens (UI-ruimte).;Move Up One Position;Een positie omhoog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;Een positie omhoog;
