instructie;en;nl;af;sq;am;ar;hy;as;az;eu;bn;my;bs;bg;ca;zh;da;de;et;fo;fi;fr;gl;ka;el;gu;he;hi;hu;ga;is;id;it;ja;kn;kk;km;ko;hr;lo;lv;lt;mk;ms;ml;mr;mn;ne;no;uk;or;ug;uz;fa;pl;pt;pa;ro;ru;sr;si;sk;sl;es;sw;ta;te;th;bo;cs;tr;ur;vi;cy;be;zu;sv;catalog;key;variation
Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 13 tekens (UI-ruimte).;%lld day open;%lld dag open;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld dagen open;plural.one
Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 15 tekens (UI-ruimte).;%lld days open;%lld dagen open;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld dagen open;plural.other
Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 19 tekens (UI-ruimte).;%lld day in advance;%lld dag vooraf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld dagen vooraf;plural.one
Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 20 tekens (UI-ruimte).;%lld days in advance;%lld dagen vooraf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld dagen vooraf;plural.other
Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 11 tekens (UI-ruimte).;%lld degree;%lld graad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld graden;plural.one
Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 12 tekens (UI-ruimte).;%lld degrees;%lld graden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld graden;plural.other
Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 22 tekens (UI-ruimte).;%lld degree, check off;%lld graad, afvinken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld graden, afvinken;plural.one
Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 23 tekens (UI-ruimte).;%lld degrees, check off;%lld graden, afvinken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld graden, afvinken;plural.other
Meervoudsvorm 'one' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 33 tekens (UI-ruimte).;%lld degree, mark as completed;%lld graad, afvinken als afgerond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld graden, afvinken als afgerond;plural.one
Meervoudsvorm 'other' (one=enkelvoud, other=meervoud). Gebruik de telregels van de doeltaal. Behoud de dynamische plaatshouders exact en in dezelfde volgorde: %lld (%@ = tekst, %lld = getal). Niet vertalen. Streef naar ± 34 tekens (UI-ruimte).;%lld degrees, mark as completed;%lld graden, afvinken als afgerond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;app;%lld graden, afvinken als afgerond;plural.other
